City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Prado,BR,-17.3411,-39.2208,74.32,87,37,7.85,scattered clouds
107,Dalian,CN,38.9122,121.6022,55.33,35,0,4.47,clear sky
108,Zwedru,LR,6.0667,-8.1281,70.93,100,91,2.39,overcast clouds
109,Demyansk,RU,57.643,32.466,48.24,98,100,5.84,overcast clouds
110,Gravdal,NO,68.1214,13.5031,47.25,83,100,25.14,light rain
111,Miramar,US,25.9873,-80.2323,80.62,72,0,9.22,clear sky
112,San Roque,ES,36.2107,-5.3842,67.03,88,75,13.8,broken clouds
113,Jamestown,US,42.097,-79.2353,51.71,68,28,1.01,scattered clouds
114,Ashington,GB,50.9331,-0.3909,53.62,82,0,3.0,clear sky
115,East London,ZA,-33.0153,27.9116,63.61,83,100,10.89,overcast clouds
116,Guane,CU,22.2025,-84.0875,75.11,74,81,2.93,broken clouds
117,Busselton,AU,-33.65,115.3333,57.56,58,95,13.96,overcast clouds
118,Yulara,AU,-25.2406,130.9889,81.63,18,0,7.7,clear sky
119,Zaykovo,RU,57.5613,62.7568,46.99,55,100,4.99,overcast clouds
120,Mwinilunga,ZM,-11.7358,24.4293,62.51,32,56,1.16,broken clouds
121,Port Elizabeth,ZA,-33.918,25.5701,59.31,88,40,9.22,scattered clouds
122,Nalut,LY,30.3333,10.85,67.78,44,0,14.85,clear sky
123,Cidreira,BR,-30.1811,-50.2056,63.41,84,100,21.72,overcast clouds
124,Marsh Harbour,BS,26.5412,-77.0636,79.92,67,99,12.68,overcast clouds
125,Roncesvalles,CO,4.0108,-75.6049,53.64,96,100,2.68,overcast clouds
126,Bilma,NE,18.6853,12.9164,87.01,22,62,13.8,broken clouds
127,Kuytun,RU,54.3419,101.5036,33.62,89,100,7.2,overcast clouds
128,Bethel,US,41.3712,-73.414,60.03,89,100,1.01,overcast clouds
129,Kodiak,US,57.79,-152.4072,53.11,94,100,12.66,mist
130,Miri,MY,4.4148,114.0089,80.74,89,40,2.3,scattered clouds
131,Nouadhibou,MR,20.931,-17.0347,82.38,47,66,19.57,broken clouds
132,Karachi,PK,24.9056,67.0822,78.62,89,40,5.75,mist
133,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,16.11,broken clouds
134,Salalah,OM,17.0151,54.0924,77.09,83,0,3.44,clear sky
135,Limbang,MY,4.75,115.0,82.51,67,48,1.79,scattered clouds
136,Igarka,RU,67.4667,86.5833,30.65,91,100,5.86,overcast clouds
137,Puerto Madryn,AR,-42.7692,-65.0385,65.97,28,95,20.54,overcast clouds
138,Payo,ID,-3.7508,103.6372,79.23,81,100,0.43,overcast clouds
139,Kaitangata,NZ,-46.2817,169.8464,42.6,82,93,17.85,overcast clouds
140,Shenjiamen,CN,29.9576,122.298,67.28,77,100,13.47,overcast clouds
141,Bogorodskoye,RU,56.55,37.8833,41.38,96,94,5.32,overcast clouds
142,Rawson,AR,-43.3002,-65.1023,65.39,29,92,20.78,overcast clouds
143,Komsomolskiy,UZ,40.4272,71.7189,50.72,43,0,9.22,clear sky
144,Banda Aceh,ID,5.5577,95.3222,79.66,79,100,10.71,light rain
145,Aklavik,CA,68.2191,-135.0107,35.04,93,100,15.21,overcast clouds
146,Lasa,IT,46.6166,10.7002,54.48,77,12,4.21,few clouds
147,Akyab,MM,20.15,92.9,81.48,80,9,4.36,clear sky
148,Sorland,NO,67.667,12.6934,46.26,84,100,34.38,overcast clouds
149,Celestun,MX,20.8667,-90.4,77.59,64,4,12.44,clear sky
150,Liuhe,CN,42.2401,125.7172,48.4,37,100,2.82,overcast clouds
151,Mnogovershinnyy,RU,53.9353,139.9242,32.29,62,100,15.1,overcast clouds
152,Tessalit,ML,20.1986,1.0114,88.27,15,25,9.93,scattered clouds
153,La Ronge,CA,55.1001,-105.2842,35.85,51,20,6.91,few clouds
154,Ixtapa,MX,20.7,-105.2,83.43,70,75,0.0,broken clouds
155,Carauari,BR,-4.8828,-66.8958,80.82,66,15,3.02,few clouds
156,Pevek,RU,69.7008,170.3133,32.07,94,100,9.01,light snow
157,Sorso,IT,40.8,8.5772,57.69,71,6,3.51,clear sky
158,Lazaro Cardenas,MX,17.9583,-102.2,79.39,84,15,4.03,few clouds
159,Horadiz,AZ,39.4488,47.3353,68.77,90,22,4.97,few clouds
160,Bonfim,BR,3.0833,-59.95,79.41,74,75,4.32,broken clouds
161,Svetlyy,RU,54.675,20.1347,51.85,80,3,16.78,clear sky
162,Swellendam,ZA,-34.0226,20.4417,48.79,92,5,2.46,clear sky
163,Yermakovskoye,RU,53.2831,92.4003,36.91,98,100,1.74,overcast clouds
164,Hermanus,ZA,-34.4187,19.2345,45.81,82,3,12.57,clear sky
165,Santa Maria,BR,-29.6842,-53.8069,67.3,60,75,6.91,light rain
166,Ouadda,CF,8.0777,22.4007,66.52,92,100,1.45,overcast clouds
167,Anadyr,RU,64.75,177.4833,45.1,93,75,20.13,moderate rain
168,Mason City,US,43.1536,-93.201,59.32,88,40,4.61,scattered clouds
169,Caravelas,BR,-17.7125,-39.2481,73.87,88,55,5.23,broken clouds
170,Longonjo,AO,-12.9067,15.2533,62.71,78,74,2.75,broken clouds
171,Tuatapere,NZ,-46.1333,167.6833,45.55,74,93,15.57,overcast clouds
172,Oyem,GA,1.5995,11.5793,66.33,99,100,1.86,overcast clouds
173,Mumford,GH,5.2618,-0.759,75.16,93,66,8.99,broken clouds
174,Labuhan,ID,-6.8844,112.2051,83.88,68,75,8.34,broken clouds
175,San Pedro,PH,14.35,121.0167,88.32,67,20,5.75,few clouds
176,Kruisfontein,ZA,-34.0033,24.7314,52.88,91,3,5.68,clear sky
177,Callaguip,PH,18.0714,120.4867,87.82,70,20,2.3,few clouds
178,Abong Mbang,CM,3.9833,13.1833,65.77,99,99,2.51,overcast clouds
179,Miandrivazo,MG,-19.5167,45.4667,73.81,81,0,1.81,clear sky
180,Kavieng,PG,-2.5744,150.7967,84.54,71,62,13.29,light rain
181,Broni,IT,45.0655,9.2623,62.78,83,19,3.98,few clouds
182,Hobyo,SO,5.3505,48.5268,76.73,87,64,16.04,broken clouds
183,Cape Town,ZA,-33.9258,18.4232,61.38,76,20,6.91,few clouds
184,Wilmington,US,34.2257,-77.9447,60.91,77,0,0.0,clear sky
185,Geraldton,AU,-28.7667,114.6,63.01,48,100,12.66,overcast clouds
186,Pisco,PE,-13.7,-76.2167,60.85,77,0,4.61,clear sky
187,Muli,MV,2.9167,73.5667,81.28,78,99,19.26,overcast clouds
188,Nyurba,RU,63.2842,118.3319,29.41,86,100,10.16,overcast clouds
189,Mahebourg,MU,-20.4081,57.7,71.89,73,75,10.36,broken clouds
